Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
24,10,100,1567498,0.06379593
23,10,100,2345672,0.042631704
22,10,100,3508990,0.028498229
48,10,100,3696924,0.027049515
47,10,100,4914568,0.020347668
46,10,100,5043518,0.019827431
45,10,100,5602274,0.017849894
5,10,100,6187174,0.016162468
8,10,100,6935260,0.0144190695
56,10,100,7881865,0.0126873525
10,10,100,7975752,0.012538003
7,10,100,8159937,0.012254996
44,10,100,8406363,0.011895751
29,10,100,8448808,0.01183599
57,10,100,8518013,0.011739827
17,10,100,8618593,0.011602823
59,10,100,8677435,0.011524143
34,10,100,8736913,0.011445691
16,10,100,8821140,0.011336403
42,10,100,8911868,0.011220992
26,10,100,9003822,0.011106394
13,10,100,9006275,0.011103369
60,10,100,9018338,0.0110885175
18,10,100,9049689,0.011050103
4,10,100,9062739,0.011034192
12,10,100,9100948,0.010987867
54,10,100,9141788,0.010938779
40,10,100,9155613,0.0109222615
63,10,100,9181499,0.010891467
37,10,100,9182860,0.010889854
27,10,100,9228467,0.010836036
21,10,100,9256267,0.010803491
58,10,100,9258342,0.01080107
62,10,100,9279861,0.010776023
53,10,100,9308036,0.010743406
55,10,100,9329280,0.010718941
49,10,100,9334870,0.010712521
38,10,100,9349954,0.01069524
32,10,100,9368986,0.010673514
6,10,100,9371863,0.010670237
28,10,100,9382821,0.010657775
39,10,100,9390295,0.010649293
52,10,100,9397199,0.010641469
15,10,100,9421038,0.010614541
61,10,100,9421385,0.01061415
20,10,100,9441361,0.010591693
35,10,100,9446351,0.010586098
25,10,100,9456405,0.010574843
31,10,100,9458462,0.010572543
30,10,100,9471856,0.010557593
33,10,100,9473763,0.0105554685
51,10,100,9474425,0.010554731
43,10,100,9475430,0.010553611
19,10,100,9480091,0.010548422
11,10,100,9482301,0.010545963
50,10,100,9483990,0.010544085
14,10,100,9490756,0.010536569
9,10,100,9492067,0.010535113
3,10,100,9492363,0.010534785
36,10,100,9497964,0.010528573
64,10,100,9501159,0.010525032
41,10,100,9502148,0.010523936
2,10,100,9504459,0.010521377
1,10,100,9505914,0.010519767
