Thread Id,Query Range,Number of Updates,Time(in ms),Updates Per Second
11,100,3,7013,0.42777696
24,100,3,9977,0.30069157
19,100,3,10898,0.27527985
14,100,3,13399,0.22389731
23,100,3,14861,0.20187068
12,100,3,17484,0.17158544
13,100,3,18663,0.16074586
10,100,3,18864,0.15903307
9,100,3,21301,0.14083846
1,100,3,23237,0.12910445
5,100,3,25297,0.11859114
4,100,3,26352,0.11384335
6,100,3,26921,0.11143717
20,100,3,26898,0.11153246
18,100,3,27154,0.110480964
28,100,3,27469,0.10921402
22,100,3,27725,0.10820559
8,100,3,28202,0.10637543
7,100,3,29836,0.100549676
26,100,3,30044,0.099853545
27,100,3,30169,0.09943982
2,100,3,30623,0.09796558
25,100,3,30578,0.09810975
3,100,3,30629,0.09794639
15,100,3,30818,0.09734571
32,100,3,30949,0.09693366
30,100,3,31625,0.09486166
17,100,3,32158,0.09328938
29,100,3,32298,0.092885
31,100,3,32451,0.09244707
21,100,3,32469,0.09239582
16,100,3,32561,0.09213476
